"filename", "language", "Markdown", "Go", "Go Checksum File", "Go Module File", "JSON", "YAML", "Python", "comment", "blank", "total"
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\pages\setup_page.go", "Go", 0, 129, 0, 0, 0, 0, 0, 5, 24, 158
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\pages\test_page.go", "Go", 0, 122, 0, 0, 0, 0, 0, 7, 30, 159
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\flex_list.go", "Go", 0, 153, 0, 0, 0, 0, 0, 27, 29, 209
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\focus_wrapper.go", "Go", 0, 57, 0, 0, 0, 0, 0, 16, 14, 87
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\overview_widget.go", "Go", 0, 136, 0, 0, 0, 0, 0, 23, 28, 187
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\searchable_list.go", "Go", 0, 88, 0, 0, 0, 0, 0, 7, 21, 116
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\searchable_table.go", "Go", 0, 187, 0, 0, 0, 0, 0, 25, 37, 249
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\separators.go", "Go", 0, 41, 0, 0, 0, 0, 0, 6, 8, 55
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\style.go", "Go", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\tabbed_view.go", "Go", 0, 192, 0, 0, 0, 0, 0, 23, 35, 250
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\ui\widgets\title_frame.go", "Go", 0, 106, 0, 0, 0, 0, 0, 19, 22, 147
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\docs\IterativeMinimalConflictSearch.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 18, 94
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\docs\benchmark.py", "Python", 0, 0, 0, 0, 0, 0, 229, 67, 66, 362
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\go.mod", "Go Module File", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\go.sum", "Go Checksum File", 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\main.go", "Go", 0, 56, 0, 0, 0, 0, 0, 8, 13, 77
"Total", "-", 104, 6410, 88, 16, 12, 46, 229, 992, 1379, 9276
